,sample_mean_score,sample_variance_score,scores,Actor (Policy Function) Loss_mean,Critic (Value Function) MSE Loss_mean,Actor (Policy Function) Loss_variance,Critic (Value Function) MSE Loss_variance
586,0.5373424190800681,0.41454616753200885,0.4600000000000042,0.0011715866680826888,0.0026765364893157604,0.0062892523602199185,0.0010088049303601195
587,0.5367687074829931,0.414033493261005,0.20000000000000395,0.0011653514438752545,0.0026719895208364357,0.006278560991603168,0.0010070985098203226
588,0.5359083191850593,0.4137653725327011,0.030000000000003135,0.0011673101376577964,0.002667456967224579,0.006267885426475023,0.0010053978576934827
589,0.5356101694915253,0.4131153316451193,0.3600000000000039,0.0011704750954145374,0.002662942556521028,0.0062572497652975375,0.0010037029245232717
590,0.5353299492385786,0.4124615434913402,0.37000000000000344,0.0011745320944270233,0.00265844691935184,0.006246653984632185,0.0010020136776811267
591,0.5344763513513513,0.41219498759545037,0.030000000000003135,0.0011817027264847575,0.002653989469349756,0.0062361147895751735,0.0010003299854311897
592,0.5345531197301855,0.4115022070552715,0.5800000000000047,0.0011890124698419524,0.002649528029798113,0.006225612497272413,0.000998652042168801
593,0.5337037037037037,0.4112368496658417,0.030000000000003135,0.0011911906770760042,0.0026450733293634713,0.006215116812188864,0.0009969797621915061
594,0.5356302521008403,0.4127529270293844,1.6799999999999484,0.0011961043455445746,0.0026406396669217303,0.006204668018334387,0.0009953130412142146
595,0.5357214765100671,0.41206418447914755,0.5900000000000047,0.001202909730142323,0.0026362220667512817,0.00619426760756087,0.0009936518772409584
596,0.5350083752093802,0.41167638415791286,0.11000000000000365,0.0012057768925076233,0.002631814009731271,0.006183879448815388,0.000991996276391763
597,0.5342642140468227,0.4113179669249124,0.09000000000000341,0.0012068663854186506,0.0026274166502718178,0.006173521901605089,0.000990346204476513
598,0.533422370617696,0.41105465575288597,0.030000000000003135,0.0012063502194503218,0.0026230308924330586,0.0061631984459749704,0.0009887016288328328
599,0.5325833333333332,0.41079081107399906,0.030000000000003135,0.0012042039864960908,0.002618659180914803,0.006152912063777904,0.0009870625089233602
