,sample_mean_score,sample_variance_score,scores,Actor (Policy Function) Loss_mean,Critic (Value Function) MSE Loss_mean,Actor (Policy Function) Loss_variance,Critic (Value Function) MSE Loss_variance
0,0.010000000000002007,0.0,0.010000000000002007,0.0,0.0,0.0,0.0
1,0.1850000000000026,0.06125000000000042,0.3600000000000032,0.0,0.0,0.0,0.0
2,0.3733333333333363,0.137033333333334,0.7500000000000038,0.0,0.0,0.0,0.0
3,0.33500000000000263,0.09723333333333388,0.22000000000000175,0.0,0.0,0.0,0.0
4,0.2420000000000024,0.1161700000000006,-0.12999999999999845,0.0,0.0,0.0,0.0
5,0.4200000000000027,0.2830400000000012,1.3100000000000043,0.0,0.0,0.0,0.0
6,0.3300000000000025,0.29256666666666786,-0.20999999999999863,0.0,0.0,0.0,0.0
7,0.44875000000000276,0.36358392857143,1.2800000000000042,0.0,0.0,0.0,0.0
8,0.3988888888888915,0.3405111111111125,1.6653345369377348e-15,0.0,0.0,0.0,0.0
9,0.4320000000000026,0.3136400000000012,0.7300000000000022,0.0,0.0,0.0,0.0
10,0.41454545454545705,0.28562727272727384,0.24000000000000177,0.0,0.0,0.0,0.0
11,0.6108333333333361,0.7220083333333356,2.770000000000006,0.0,0.0,0.0,0.0
12,0.5784615384615412,0.6754641025641046,0.1900000000000026,0.0,0.0,0.0,0.0
13,0.6821428571428599,0.7740027472527492,2.030000000000003,0.0,0.0,0.0,0.0
14,0.7240000000000029,0.7449971428571448,1.3100000000000043,0.0,0.0,0.0,0.0
15,0.7906250000000029,0.7663529166666687,1.7900000000000038,0.0,0.0,0.0,0.0
16,0.8023529411764736,0.7207941176470607,0.990000000000004,0.0,0.0,0.0,0.0
17,0.8772222222222253,0.7792918300653615,2.150000000000005,0.0,0.0,0.0,0.0
18,0.8305263157894768,0.7774274853801191,-0.009999999999998344,0.0,0.0,0.0,0.0
19,0.825500000000003,0.7370155263157914,0.7300000000000022,0.0,0.0,0.0,0.0
20,0.8433333333333364,0.7068433333333352,1.2000000000000042,0.0,0.0,0.0,0.0
21,0.8631818181818212,0.6818512987013005,1.2800000000000025,0.0,0.0,0.0,0.0
22,0.860000000000003,0.6510909090909108,0.7900000000000023,0.0,0.0,0.0,0.0
23,0.8154166666666696,0.6704867753623206,-0.20999999999999863,0.0,0.0,0.0,0.0
24,0.7824000000000029,0.669802333333335,-0.00999999999999801,0.0,0.0,0.0,0.0
25,0.7438461538461567,0.6816566153846172,-0.21999999999999864,0.0,0.0,0.0,0.0
26,0.7366666666666696,0.656830769230771,0.5500000000000029,0.0,0.0,0.0,0.0
27,0.740000000000003,0.6328148148148166,0.8300000000000036,0.0,0.0,0.0,0.0
28,0.7262068965517271,0.6157315270935978,0.3400000000000023,0.0,0.0,0.0,0.0
29,0.7236666666666696,0.5946929885057488,0.6500000000000021,0.0,0.0,0.0,0.0
30,0.7348387096774223,0.578739139784948,1.070000000000004,0.0,0.0,0.0,0.0
31,0.749687500000003,0.567125705645163,1.2100000000000033,0.0,0.0,0.0,0.0
32,0.7375757575757605,0.554243939393941,0.35000000000000253,0.0,0.0,0.0,0.0
33,0.7235294117647089,0.5441568627450996,0.2600000000000027,0.0,0.0,0.0,0.0
34,0.7142857142857173,0.5311428571428587,0.40000000000000235,0.0,0.0,0.0,0.0
35,0.7002777777777808,0.5230313492063507,0.21000000000000263,0.0,0.0,0.0,0.0
36,0.681081081081084,0.5221376876876893,-0.00999999999999801,0.0,0.0,0.0,0.0
37,0.6694736842105292,0.5131456614509261,0.24000000000000266,0.0,0.0,0.0,0.0
38,0.64717948717949,0.5190260458839421,-0.1999999999999985,0.0,0.0,0.0,0.0
